Wall time,Step,Value
1604175794.8123555,16423,177.8887481689453
1604175794.8123555,16430,181.2312469482422
1604175796.251942,24653,182.07000732421875
1604175796.9400976,28763,179.5574951171875
1604175799.5433812,45209,182.07000732421875
1604175800.2415335,49324,180.3937530517578
1604175802.7553594,65744,177.05624389648438
1604175802.7563596,65764,181.2312469482422
1604175803.9924586,73981,177.8887481689453
1604175832.094534,81961,183.75125122070312
1604175833.3990378,90152,182.91000366210938
1604175833.3990378,90155,180.3937530517578
1604175833.4000382,90175,184.59375
1604175838.0243647,118934,183.75125122070312
1604175839.276615,127173,182.91000366210938
1604175839.9430573,131283,178.72250366210938
1604175843.2476742,151566,182.07000732421875
1604175844.6299603,159811,182.91000366210938
1604175871.831725,163928,185.4375
1604175871.8327248,163917,183.75125122070312
1604175873.7854507,176253,181.2312469482422
1604175874.4438298,180365,177.05624389648438
1604175875.0859778,184475,177.8887481689453
1604175875.087979,184497,182.07000732421875
1604175877.0536869,196821,182.91000366210938
1604175877.6873567,200928,182.91000366210938
1604175880.213912,217111,187.12875366210938
1604175880.8271277,221220,182.91000366210938
1604175880.8271277,221231,181.2312469482422
1604175881.4526987,225333,179.5574951171875
1604175881.4536977,225318,177.8887481689453
1604175882.6987212,233531,182.07000732421875
1604175912.694364,262331,184.59375
1604175913.29279,266466,179.5574951171875
1604175913.29279,266482,180.3937530517578
1604175913.9070015,270570,180.3937530517578
1604175915.1442835,278581,180.3937530517578
1604175915.7625442,282640,183.75125122070312
1604175917.5942295,294967,176.22500610351562
1604175917.5952306,294984,186.28250122070312
1604175918.8446279,303196,180.3937530517578
1604175919.4493523,307330,177.8887481689453
1604175921.3418303,319699,182.07000732421875
1604175948.6364462,323775,178.72250366210938
1604175952.4870849,348166,185.4375
1604175955.0130117,364567,180.3937530517578
1604175955.0130117,364603,181.2312469482422
1604175955.6500664,368725,182.07000732421875
1604175955.6500664,368785,180.3937530517578
1604175957.5399802,381126,186.28250122070312
1604175958.1677911,385208,183.75125122070312
1604175958.8175037,389300,175.39500427246094
1604175959.449609,393394,183.75125122070312
1604175959.4506102,393440,178.72250366210938
1604175987.013742,401663,182.91000366210938
1604175988.271953,409614,179.5574951171875
1604175990.175124,421911,181.2312469482422
1604175990.805209,426075,179.5574951171875
1604175992.0971324,434294,179.5574951171875
1604175992.729921,438409,183.75125122070312
1604175993.3961349,442470,182.07000732421875
1604175994.6690927,450705,179.5574951171875
1604175996.5922744,463055,177.05624389648438
1604175997.204131,467188,181.2312469482422
1604175997.8364508,471082,184.59375
