Wall time,Step,Value
1604181730.5179646,12312,178.72250366210938
1604181731.1519651,16431,181.2312469482422
1604181731.1519651,16415,180.3937530517578
1604181732.4365811,24661,180.3937530517578
1604181733.1017659,28774,182.07000732421875
1604181735.65785,45215,179.5574951171875
1604181736.281065,49329,182.07000732421875
1604181738.785319,65748,179.5574951171875
1604181738.7853253,65755,182.91000366210938
1604181740.0407467,73982,180.3937530517578
1604181740.6789362,77827,176.22500610351562
1604181767.9060235,90166,177.8887481689453
1604181767.9060326,90192,179.5574951171875
1604181767.9070253,90167,182.91000366210938
1604181769.7535913,102495,180.3937530517578
1604181772.2408373,118906,182.07000732421875
1604181773.5212216,127115,171.2637481689453
1604181774.2611287,131255,180.3937530517578
1604181777.4840696,151762,178.72250366210938
1604181778.768818,159748,179.5574951171875
1604181805.7986257,163872,179.5574951171875
1604181805.7996266,163875,183.75125122070312
1604181805.7996266,163889,176.22500610351562
1604181807.718848,176213,187.97625732421875
1604181808.360592,180345,179.5574951171875
1604181808.9926503,184419,183.75125122070312
1604181808.9936504,184467,182.91000366210938
1604181810.8896585,196740,172.91250610351562
1604181811.531658,200821,177.05624389648438
1604181812.8646874,209106,178.72250366210938
1604181813.5124538,213212,179.5574951171875
1604181814.1787546,217088,178.72250366210938
1604181814.1787546,217094,180.3937530517578
1604181814.8320746,221200,176.22500610351562
1604181815.486015,225504,180.3937530517578
1604181816.7857678,233518,168.8000030517578
1604181847.642723,262231,182.07000732421875
1604181848.2926598,266410,176.22500610351562
1604181848.2926598,266326,180.3937530517578
1604181848.939024,270433,180.3937530517578
1604181849.5898364,274612,179.5574951171875
1604181850.226715,278734,177.8887481689453
1604181852.153594,291002,179.5574951171875
1604181852.153594,291012,186.28250122070312
1604181853.460588,299031,177.8887481689453
1604181854.1047647,303335,177.05624389648438
1604181856.6716344,319519,178.72250366210938
1604181856.6716344,319501,179.5574951171875
1604181883.7332969,323622,179.5574951171875
1604181886.2692218,340048,177.8887481689453
1604181886.9116554,344205,181.2312469482422
1604181889.4151132,360682,180.3937530517578
1604181889.4161124,360674,180.3937530517578
1604181890.0332725,364778,177.8887481689453
1604181890.0342724,364729,180.3937530517578
1604181892.5742624,380971,183.75125122070312
1604181892.575261,381153,175.39500427246094
1604181893.803828,389168,178.72250366210938
1604181894.5102553,393245,182.07000732421875
1604181894.5112655,393286,176.22500610351562
1604181921.5837371,401459,182.07000732421875
1604181922.2352636,405610,182.07000732421875
1604181922.8714309,409690,178.72250366210938
1604181924.1884882,417914,181.2312469482422
1604181925.487291,426158,181.2312469482422
1604181926.1504116,430255,168.8000030517578
1604181926.7807617,434366,180.3937530517578
1604181926.7816072,434406,182.07000732421875
1604181927.4103513,438499,177.05624389648438
1604181929.3852882,450790,178.72250366210938
1604181931.3157208,462876,182.07000732421875
1604181931.952272,467191,174.56625366210938
1604181932.6237729,471115,179.5574951171875
1604181933.2705345,475237,180.3937530517578
1604181933.271398,475263,182.07000732421875
