,i,avg,std
0,0,180.69899999999996,2.0909867287957753
1,5000,180.92623749999996,2.369811223329578
2,10000,181.16208749999998,2.6577019387938923
3,15000,180.53363749999994,2.584859855334297
4,20000,180.81258749999998,3.1007742695121907
5,25000,180.3422875,2.8205869294738726
6,30000,181.03648749999996,2.669165042053195
7,35000,181.68318749999997,2.9142715286961227
8,40000,181.35502499999998,2.683473599995924
9,45000,181.94053749999995,2.3301555692096625
10,50000,182.2527375,2.7018461494816437
11,55000,183.89653750000002,3.464247956154234
12,60000,193.12779999999992,8.918816774662426
13,65000,250.94486249999994,57.631117713462494
14,70000,256.625075,54.90829034308596
15,75000,276.4070125,68.53865454090831
16,80000,260.69767499999995,59.61341370866649
17,85000,362.40493749999985,62.79152476110307
18,90000,355.8634,59.27365674724314
19,95000,343.6911625000001,65.15358226319347
20,100000,389.508475,60.529407531995346
21,105000,369.4526374999999,80.68642624051128
22,110000,376.45456249999995,98.12896560097823
23,115000,229.4205625,109.27549198747847
24,120000,144.55598749999996,44.54395326363577
25,125000,209.4179,94.3840070584127
26,130000,273.41271249999994,104.14481956287106
27,135000,330.9514749999999,110.9203806256401
28,140000,395.15672499999994,112.84518131794829
29,145000,283.77746249999996,144.93225229939924
30,150000,313.4504749999999,161.08391973525593
31,155000,369.98601249999984,159.80907597590232
32,160000,429.808425,128.34786320565246
33,165000,463.510075,88.28437786349504
34,170000,470.40596250000004,83.02037841263264
35,175000,474.6188874999999,54.668335783527084
36,180000,259.35157499999997,154.8878818125005
37,185000,452.866925,93.47421204659537
38,190000,431.5231,93.75077506620946
39,195000,421.58549999999997,120.12091240287846
40,200000,387.24617500000005,119.63146534589835
41,205000,290.5727999999999,110.35699995768282
42,210000,322.27324999999996,82.36997453335165
43,215000,252.7114375,92.39527451329273
44,220000,249.35657500000002,66.13324077610766
45,225000,268.8864625,84.26739977929913
46,230000,280.98415,78.10440350239544
47,235000,254.47416249999998,79.5834847080911
48,240000,277.21923749999996,57.66074301271161
49,245000,263.57048749999996,57.40631395148725
