,i,avg,std
0,0,180.9941375,2.571914302220981
1,5000,180.68358749999996,2.4212667117066684
2,10000,181.39702499999999,2.70374775069256
3,15000,181.34876249999996,3.0858024001819677
4,20000,182.052675,2.977747255791712
5,25000,182.46417499999998,2.9988797711603974
6,30000,182.37048749999994,2.7377225417249287
7,35000,181.76508749999996,2.5058225461849464
8,40000,181.76622499999996,2.745512531727924
9,45000,182.3268,2.359146716240863
10,50000,183.4387125,2.8841068453628353
11,55000,187.34942499999997,4.482547759854306
12,60000,218.1956624999999,50.96756763939908
13,65000,240.10424999999995,63.82779231700327
14,70000,255.53962499999997,59.23754184175038
15,75000,254.96454999999995,48.207130670200144
16,80000,279.01012499999996,49.790189470887505
17,85000,290.245275,59.28348054516853
18,90000,328.65592499999997,69.00388755185736
19,95000,310.01292500000005,103.02269255032786
20,100000,330.4864124999999,102.62545248570392
21,105000,374.3704875,87.92049547902906
22,110000,322.783475,143.97539413240247
23,115000,272.2411125,144.61267015580088
24,120000,356.42291249999994,133.28182050875026
25,125000,443.5153000000001,89.81172272665049
26,130000,400.0478875,110.55898492839341
27,135000,448.61652499999997,79.67001610717878
28,140000,389.36221249999994,143.4131948732245
29,145000,414.56877499999996,142.95166428912475
30,150000,394.0780625,141.91634155775267
31,155000,363.9649749999999,124.53851800221037
32,160000,317.8722374999999,113.87916080177035
33,165000,382.1569125,97.00250869089272
34,170000,388.0991375,135.07932510273073
35,175000,319.46516249999996,142.547549772617
36,180000,348.1230249999999,132.2051450679705
37,185000,321.9774874999999,137.11447667796324
38,190000,369.69186250000007,98.4972878085507
39,195000,297.4360625,137.54318627484503
40,200000,303.71084999999994,107.38378154906589
41,205000,327.601225,94.7914640665201
42,210000,255.62705000000003,58.40822875447432
43,215000,220.85451249999997,36.78892644486203
44,220000,217.79392499999997,34.23329465731242
45,225000,217.21788749999996,35.924630317206734
46,230000,219.58321249999995,38.639823852089044
47,235000,221.28877499999996,32.32158574726997
48,240000,208.57707499999998,34.50703101960708
49,245000,172.14997499999993,24.94216831804374
50,250000,202.83407499999993,38.604046818152696
51,255000,215.52676250000002,41.88611355176939
52,260000,197.69617499999995,37.622728092047296
53,265000,184.87136249999995,30.087864382969574
54,270000,160.78546249999997,27.19694632597507
55,275000,160.83868750000002,25.224635472697496
56,280000,162.88188749999995,29.691970191605993
57,285000,163.68318749999995,30.501135015446042
58,290000,156.97957499999995,30.99291344415486
59,295000,152.15361249999995,25.656893754953433
60,300000,186.03044999999997,57.30111955535861
61,305000,179.36888749999997,48.13265782803261
62,310000,192.56734999999992,56.179578561542286
63,315000,192.8163125,51.79697110545385
64,320000,197.37314999999995,51.955758111312846
65,325000,172.84263749999994,38.47224409107128
66,330000,198.67356249999997,36.417124718914444
67,335000,194.104525,31.23757644037267
68,340000,193.95106249999998,22.78552666673449
69,345000,194.47569999999996,14.756495833742166
70,350000,215.15946249999996,22.00359348724019
71,355000,214.64294999999996,22.644195603205915
72,360000,232.49768749999998,29.58815805846943
73,365000,237.187325,31.46047439298835
74,370000,243.14323750000003,35.67094472575642
75,375000,237.9099125,43.364891372966916
76,380000,246.15319999999997,32.71744192290636
77,385000,233.70672499999998,34.04781382885509
78,390000,244.69226249999997,36.37563950412721
79,395000,229.3332875,32.71377404695871
80,400000,239.22875,29.19206570285838
81,405000,252.9625124999999,30.264159637213123
82,410000,262.78569999999996,28.796021978044127
83,415000,275.64023749999996,32.37676334372337
84,420000,261.47488749999997,35.247477299400025
85,425000,255.62957499999996,31.661632289837424
86,430000,272.948125,32.187029324956754
87,435000,296.81882499999995,27.1393535489863
88,440000,294.754625,36.14029099586257
89,445000,276.4450125,29.766396720177084
90,450000,276.877425,42.72523295716918
91,455000,273.2848125,48.84811070565288
92,460000,285.77925000000005,50.05411734313173
93,465000,286.1087625,53.88204053778467
94,470000,313.02417499999996,57.50986392437932
95,475000,274.2971,60.45562499027697
96,480000,370.2354125000001,70.31837480036224
97,485000,316.27448749999996,63.203783059514876
98,490000,313.32149999999996,86.73848050137552
99,495000,298.9719875,92.78776411202729
100,500000,330.1615499999999,111.27499844615254
101,505000,327.8970625,105.51516556954252
102,510000,407.58289999999994,108.83742724829314
103,515000,324.75629999999995,102.11666138905787
104,520000,405.3219,98.7919386184103
105,525000,229.28091249999994,26.289465252772242
106,530000,281.74006249999996,64.2182672325832
107,535000,291.1398875,70.39942947547033
108,540000,334.2203,89.40573945137695
109,545000,438.922325,125.70307650297634
110,550000,384.10433750000004,111.2728019765015
111,555000,330.97925,83.61957909111358
112,560000,333.1521125,100.07566692253653
113,565000,413.2968625000001,94.8585516393183
114,570000,348.27698749999996,111.46111007097035
115,575000,346.4943875000001,88.90196644276475
116,580000,260.56199999999995,43.32764455900241
117,585000,323.58745,65.60539899512845
118,590000,328.22608749999995,75.93733531312492
119,595000,336.1323875,109.42040221464856
120,600000,315.7254375,97.59479325865298
121,605000,292.20111249999997,83.78624146691968
122,610000,337.9146125,102.7983688190891
123,615000,371.5926625,91.87660299548095
124,620000,319.67873749999995,77.91627284934911
